Distanz;Typ Auflage;Passe;x;y;Ringe
70;122;1;37;-30;10
70;122;1;-94;-87;8
70;122;1;-90;-100;8
70;122;1;81;-16;9
70;122;1;-21;-48;10
70;122;1;53;154;8
70;122;1;41;106;9
70;122;1;-75;41;9
70;122;1;-72;-9;9
70;122;2;-86;51;9
70;122;2;10;11;10
70;122;2;41;0;10
70;122;2;-16;-66;9
70;122;2;-25;-20;10
70;122;2;-63;-26;9
70;122;2;25;24;10
70;122;2;-15;-5;10
70;122;2;6;20;10
70;122;3;80;79;9
70;122;3;-35;-11;10
70;122;3;-17;-21;10
70;122;3;40;-11;10
70;122;3;-83;29;9
70;122;3;5;1;10
70;122;3;20;-30;10
70;122;3;41;6;10
70;122;3;-105;108;8
70;122;4;23;-31;10
70;122;4;-61;7;10
70;122;4;30;-90;9
70;122;4;41;7;10
70;122;4;21;-5;10
70;122;4;-92;-27;9
70;122;4;-30;38;10
70;122;4;-54;-17;10
70;122;4;-19;11;10
70;122;5;-103;-27;9
70;122;5;0;34;10
70;122;5;-28;-16;10
70;122;5;-51;-33;10
70;122;5;38;-129;8
70;122;5;0;-29;10
70;122;5;4;-42;10
70;122;5;-36;49;10
70;122;5;-58;-55;9
70;122;6;-78;-26;9
70;122;6;-94;-31;9
70;122;6;48;-38;10
70;122;6;-28;-47;10
70;122;6;-89;-62;9
70;122;6;-17;64;9
70;122;6;-108;-19;9
70;122;6;12;-6;10
70;122;6;21;7;10
70;122;6;87;-39;9
70;122;6;14;-22;10
70;122;6;74;75;9
70;122;7;-4;79;9
70;122;7;11;-18;10
70;122;7;-27;-48;10
70;122;7;-3;21;10
70;122;7;15;16;10
70;122;7;-5;27;10
70;122;7;51;-24;10
70;122;7;-58;67;9
70;122;7;-16;22;10
70;122;7;-88;-9;9
70;122;7;25;13;10
70;122;7;-42;49;9
70;122;8;21;-54;10
70;122;8;-41;-26;10
70;122;8;-19;-49;10
70;122;8;68;29;9
70;122;8;-59;22;10
70;122;8;28;-55;10
70;122;8;-96;-40;9
70;122;8;41;-70;9
70;122;8;-5;20;10
70;122;8;-47;52;9
70;122;8;27;10;10
70;122;8;-75;-7;9
70;122;9;-53;-90;9
70;122;9;-45;12;10
70;122;9;24;-22;10
70;122;9;-38;-57;9
70;122;9;-63;-33;9
70;122;9;101;-51;9
70;122;9;-28;29;10
70;122;9;-66;40;9
70;122;9;-36;-43;10
70;122;9;28;-80;9
70;122;9;-12;19;10
70;122;9;-31;83;9
70;122;10;-110;-5;9
70;122;10;-31;0;10
70;122;10;10;27;10
70;122;10;-72;14;9
70;122;10;-11;-70;9
70;122;10;66;-91;9
70;122;10;-84;-46;9
70;122;10;6;-36;10
70;122;10;-25;-104;9
70;122;11;-46;-15;10
70;122;11;-9;36;10
70;122;11;17;22;10
70;122;11;54;-11;10
70;122;11;34;30;10
70;122;11;36;-67;9
70;122;11;16;-47;10
70;122;11;-135;2;8
70;122;11;-68;-8;9
70;122;12;27;-59;9
70;122;12;21;-55;10
70;122;12;-78;32;9
70;122;12;-6;-17;10
70;122;12;-52;-39;9
70;122;12;-38;44;10
70;122;12;-84;1;9
70;122;12;37;76;9
70;122;12;44;-66;9
70;122;13;23;24;10
70;122;13;46;33;10
70;122;13;-44;-56;9
70;122;13;36;-83;9
70;122;13;-36;3;10
70;122;13;37;-29;10
70;122;13;-44;-71;9
70;122;13;-5;-19;10
70;122;13;-19;-87;9
70;122;14;-42;102;9
70;122;14;-45;43;10
70;122;14;-55;-45;9
70;122;14;68;73;9
70;122;14;15;17;10
70;122;14;-83;6;9
70;122;14;-7;71;9
70;122;14;10;21;10
70;122;14;-47;17;10
70;122;15;0;35;10
70;122;15;48;17;10
70;122;15;-17;94;9
70;122;15;-15;6;10
70;122;15;-84;-104;8
70;122;15;-7;32;10
70;122;15;-34;54;9
70;122;15;27;70;9
70;122;15;15;77;9
70;122;16;62;-13;10
70;122;16;-6;-18;10
70;122;16;38;-33;10
70;122;16;72;-26;9
70;122;16;3;28;10
70;122;16;-86;-21;9
70;122;16;26;48;10
70;122;16;44;8;10
70;122;16;11;38;10
70;122;17;-78;-22;9
70;122;17;40;-66;9
70;122;17;1;33;10
70;122;17;-75;103;8
70;122;17;29;19;10
70;122;17;13;-13;10
70;122;17;-33;5;10
70;122;17;85;15;9
70;122;17;-57;53;9
70;122;17;-95;58;9
70;122;18;91;-5;9
70;122;18;67;20;9
70;122;18;58;54;9
70;122;18;14;-52;10
70;122;18;35;54;9
70;122;18;119;53;8
70;122;18;68;14;9
70;122;18;-32;137;8
70;122;18;-50;97;9
70;122;18;90;172;7
70;122;19;-121;-23;9
70;122;19;-51;-22;10
70;122;19;9;59;10
70;122;19;-16;34;10
70;122;19;28;-53;10
70;122;19;-25;-73;9
70;122;19;-13;36;10
70;122;19;-47;-4;10
70;122;19;37;94;9
70;122;19;-139;73;8
70;122;20;-55;-33;9
70;122;20;115;-4;9
70;122;20;99;44;9
70;122;20;-104;52;9
70;122;20;1;20;10
70;122;20;8;102;9
70;122;20;36;41;10
70;122;20;23;36;10
70;122;20;25;-26;10
70;122;20;182;202;6
70;122;21;25;-2;10
70;122;21;71;-58;9
70;122;21;-21;-41;10
70;122;21;-51;4;10
70;122;21;85;66;9
70;122;21;10;-14;10
70;122;21;-46;-35;10
70;122;21;14;-7;10
70;122;21;32;-36;10
70;122;21;-362;23;5
