Distanz;Typ Auflage;Passe;x;y;Ringe
70;122;1;-51;-247;6
70;122;1;-15;-148;8
70;122;1;-148;-193;7
70;122;1;-111;-151;7
70;122;1;40;-82;9
70;122;1;-56;-178;7
70;122;1;-86;-182;7
70;122;2;-22;-107;9
70;122;2;-53;-99;9
70;122;2;-24;-97;9
70;122;2;-80;-130;8
70;122;2;85;-46;9
70;122;2;-50;-55;9
70;122;2;11;-67;9
70;122;3;-39;-38;10
70;122;3;1;-61;10
70;122;3;82;-13;9
70;122;3;7;80;9
70;122;3;-39;-17;10
70;122;3;54;50;9
70;122;3;-58;25;9
70;122;4;34;-3;10
70;122;4;-8;12;10
70;122;4;130;-8;8
70;122;4;-70;-22;9
70;122;4;17;14;10
70;122;4;-149;34;8
70;122;4;-23;-25;10
70;122;5;4;47;10
70;122;5;22;-58;10
70;122;5;-15;-41;10
70;122;5;81;-62;9
70;122;5;-102;35;9
70;122;5;-61;55;9
70;122;5;-107;39;9
70;122;6;-4;-17;10
70;122;6;-61;-110;8
70;122;6;-205;-4;7
70;122;6;-31;11;10
70;122;6;-76;66;9
70;122;6;21;-32;10
70;122;6;140;75;8
70;122;7;-40;-31;10
70;122;7;-70;34;9
70;122;7;-166;112;7
70;122;7;-61;3;10
70;122;7;-67;43;9
70;122;7;-36;19;10
70;122;7;20;82;9
70;122;8;14;53;10
70;122;8;-28;-13;10
70;122;8;-108;121;8
70;122;8;66;-55;9
70;122;8;-185;85;7
70;122;8;-61;-32;9
70;122;8;-111;186;7
70;122;9;-118;16;9
70;122;9;27;-47;10
70;122;9;-110;-45;9
70;122;9;33;-15;10
70;122;9;-138;27;8
70;122;9;80;27;9
70;122;9;-49;46;9
70;122;10;70;-73;9
70;122;10;45;29;10
70;122;10;-62;63;9
70;122;10;124;20;8
70;122;10;-62;52;9
70;122;10;-131;12;8
70;122;11;110;-29;9
70;122;11;-28;6;10
70;122;11;-53;6;10
70;122;11;35;-41;10
70;122;11;83;-56;9
70;122;11;94;-109;8
70;122;12;26;29;10
70;122;12;31;76;9
70;122;12;-124;27;8
70;122;12;23;-18;10
70;122;12;-113;29;9
70;122;12;-39;101;9
70;122;13;75;32;9
70;122;13;41;61;9
70;122;13;1;44;10
70;122;13;18;11;10
70;122;13;-58;23;10
70;122;13;15;114;9
70;122;14;-15;-72;9
70;122;14;14;10;10
70;122;14;-77;78;9
70;122;14;-196;72;7
70;122;14;121;61;8
70;122;14;18;-25;10
70;122;15;45;16;10
70;122;15;-73;137;8
70;122;15;23;83;9
70;122;15;-34;21;10
70;122;15;-58;130;8
70;122;15;-70;71;9
70;122;16;67;32;9
70;122;16;77;141;8
70;122;16;162;54;8
70;122;16;38;138;8
70;122;16;74;175;7
70;122;16;74;93;9
70;122;16;15;113;9
70;122;16;136;129;7
70;122;16;32;159;8
70;122;16;73;173;7
70;122;16;22;266;6
70;122;17;177;175;6
70;122;17;-42;86;9
70;122;17;147;268;6
70;122;17;36;160;8
70;122;17;-37;217;7
70;122;17;-17;146;8
70;122;17;130;212;6
70;122;17;149;176;7
70;122;17;49;156;8
70;122;17;23;29;10
70;122;17;-30;135;8
