Distanz;Typ Auflage;Passe;x;y;Ringe
70;122;4;-165;-133;7
70;122;4;-58;-246;6
70;122;4;142;-65;8
70;122;4;-76;-25;9
70;122;4;-166;-28;8
70;122;4;-59;-170;8
70;122;4;-161;-80;8
70;122;4;157;-172;7
70;122;5;-41;-190;7
70;122;5;114;-164;7
70;122;5;-220;-160;6
70;122;5;119;-64;8
70;122;5;138;-210;6
70;122;5;132;-34;8
70;122;5;40;-119;8
70;122;5;37;-108;9
70;122;5;-66;-20;9
70;122;6;91;-46;9
70;122;6;85;-24;9
70;122;6;130;97;8
70;122;6;-15;20;10
70;122;6;-130;-19;8
70;122;6;-66;-25;9
70;122;6;-32;-209;7
70;122;6;60;42;9
70;122;14;138;-178;7
70;122;14;-60;108;9
70;122;14;32;125;8
70;122;14;113;197;7
70;122;14;196;175;6
70;122;14;-92;213;7
70;122;14;13;246;7
70;122;14;189;111;7
70;122;15;171;55;8
70;122;15;61;-74;9
70;122;15;107;119;8
70;122;15;-42;220;7
70;122;15;138;240;6
70;122;15;278;-42;6
70;122;15;121;-138;8
70;122;15;55;37;9
70;122;15;69;83;9
70;122;16;112;-22;9
70;122;16;3;-107;9
70;122;16;4;179;8
70;122;16;66;-191;7
70;122;16;-118;357;4
70;122;16;107;-160;7
70;122;17;-11;182;8
70;122;17;20;14;10
70;122;17;52;-83;9
70;122;17;2;181;8
70;122;17;199;-20;7
70;122;17;119;30;9
70;122;17;-97;236;6
